id,subject,chapter,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
1,Physics,Mechanics,A body thrown vertically upward with velocity 20 m/s. Maximum height reached (g=10 m/s2),10 m,20 m,30 m,40 m,B,Using v2=u2-2gh: 0=400-20h so h=20m,Medium
2,Physics,Mechanics,The unit of impulse is same as that of,Force,Work,Momentum,Power,C,Impulse = Force x time = kg.m/s which equals momentum,Easy
3,Physics,Thermodynamics,In an adiabatic process,Heat is transferred,Work done is zero,Internal energy changes,Temperature remains constant,C,In adiabatic process Q=0 so change in U = -W meaning internal energy changes,Medium
4,Physics,Waves,Frequency of a tuning fork is 256 Hz. Wavelength of sound in air at v=340 m/s is,1.328 m,1.428 m,1.528 m,1.628 m,A,Wavelength = v divided by f = 340 divided by 256 = 1.328 m,Easy
5,Physics,Electrostatics,Electric field inside a conductor in electrostatic equilibrium is,Maximum,Minimum,Zero,Infinite,C,In electrostatic equilibrium charges reside on surface and field inside is zero,Easy
6,Physics,Optics,A convex lens of focal length 20 cm forms real image at 60 cm. Object distance is,30 cm,15 cm,40 cm,20 cm,A,Using lens formula 1/f=1/v-1/u gives u=-30 cm,Medium
7,Physics,Modern Physics,Energy of a photon of wavelength 600 nm approximately (h=6.6x10-34),2.07 eV,3.10 eV,1.50 eV,4.20 eV,A,E=hc/lambda = 3.3x10-19 J = 2.07 eV,Hard
8,Physics,Magnetism,The SI unit of magnetic flux density is,Tesla,Weber,Gauss,Oersted,A,Magnetic flux density B is measured in Tesla in SI system,Easy
9,Physics,Current Electricity,Three resistors 2 ohm 3 ohm and 6 ohm connected in parallel. Equivalent resistance is,1 ohm,2 ohm,3 ohm,6 ohm,A,1/R = 1/2+1/3+1/6 = 1 so R = 1 ohm,Medium
10,Physics,Mechanics,A projectile fired at 30 degrees to horizontal. Range is maximum at angle,30 degrees,45 degrees,60 degrees,90 degrees,B,Range R=u2sin2theta/g is maximum when theta=45 degrees,Easy
11,Physics,Gravitation,Escape velocity from Earth surface is approximately,7.9 km/s,11.2 km/s,15.6 km/s,3.8 km/s,B,Escape velocity = sqrt(2GM/R) = 11.2 km/s for Earth,Easy
12,Physics,Semiconductors,The forbidden energy gap in a conductor is approximately,0 eV,1 eV,3 eV,5 eV,A,Conductors have overlapping bands so energy gap is approximately 0 eV,Easy
13,Physics,Fluid Mechanics,According to Bernoullis theorem as velocity increases pressure,Increases,Decreases,Remains same,Unpredictable,B,Bernoulli equation: P + 0.5*rho*v2 = constant so as v increases P decreases,Medium
14,Physics,Mechanics,A ball rolls without slipping. Ratio of translational KE to total KE for solid sphere is,3/5,5/7,2/7,7/5,B,For solid sphere I=2mr2/5 so ratio = mv2 divided by (mv2 + Iw2) = 5/7,Hard
15,Physics,Thermodynamics,Efficiency of a Carnot engine between 500K and 300K is,30%,40%,50%,60%,B,Efficiency = 1 - T2/T1 = 1 - 300/500 = 0.4 = 40 percent,Medium
16,Chemistry,Atomic Structure,The number of protons in nucleus of an atom determines its,Mass number,Atomic number,Neutron number,Isotope number,B,Atomic number Z = number of protons which uniquely identifies an element,Easy
17,Chemistry,Chemical Bonding,Which of the following has maximum bond angle,H2O,NH3,BF3,CH4,C,BF3 has sp2 hybridization with bond angle 120 degrees which is maximum,Medium
